panel,arm,run,engine,role,n_windows,itl_ms,cdf
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,437.38184,0.92224
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,455.01117,0.92277
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,473.35108,0.92330
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,492.43021,0.95206
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,512.27834,0.99521
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,532.92649,0.99654
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,554.40690,0.99654
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,576.75310,0.99654
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8001,drawn,3755,600.00000,0.99654
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,12.00000,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,12.48368,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,12.98685,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,13.51031,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,14.05486,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,14.62136,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,15.21070,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,15.82379,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,16.46159,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,17.12510,0.00000
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,17.81535,0.03266
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,18.53343,0.17042
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,19.28044,0.21707
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,20.05757,0.24533
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,20.86602,0.28019
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,21.70706,0.31037
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,22.58199,0.33946
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,23.49219,0.35922
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,24.43908,0.38063
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,25.42414,0.39956
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,26.44889,0.42289
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,27.51496,0.44402
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,28.62399,0.46268
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,29.77772,0.47969
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,30.97796,0.49945
(a) One-hour dynamic trace,PolyServe,260809_0210_exp71br1_polyserve_fullb,8002,envelope,3644,32.22657,0.52113
